Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2025-01-08,12:52 AM,9 °F,3 °F,77 %,S,5 mph,0 mph,29.24 in,0.0 in,Fair
2025-01-09,1:52 AM,8 °F,4 °F,83 %,S,8 mph,0 mph,29.23 in,0.0 in,Fair
2025-01-09,2:52 AM,9 °F,5 °F,84 %,S,6 mph,0 mph,29.22 in,0.0 in,Fair
2025-01-09,3:52 AM,9 °F,5 °F,84 %,S,7 mph,0 mph,29.23 in,0.0 in,Fair
2025-01-09,4:52 AM,9 °F,4 °F,80 %,S,6 mph,0 mph,29.21 in,0.0 in,Fair
2025-01-09,5:52 AM,9 °F,5 °F,84 %,S,8 mph,0 mph,29.20 in,0.0 in,Fair
2025-01-09,6:52 AM,10 °F,6 °F,84 %,S,9 mph,0 mph,29.20 in,0.0 in,Fair
2025-01-09,7:52 AM,10 °F,7 °F,87 %,S,9 mph,0 mph,29.20 in,0.0 in,Fair
2025-01-09,8:52 AM,10 °F,8 °F,92 %,S,10 mph,0 mph,29.18 in,0.0 in,Fair
2025-01-09,9:52 AM,13 °F,10 °F,88 %,S,10 mph,0 mph,29.19 in,0.0 in,Fair
2025-01-09,10:52 AM,17 °F,13 °F,84 %,SSE,9 mph,0 mph,29.19 in,0.0 in,Fair
2025-01-09,11:52 AM,20 °F,15 °F,81 %,S,13 mph,0 mph,29.18 in,0.0 in,Fair
2025-01-09,12:52 PM,23 °F,17 °F,78 %,S,12 mph,0 mph,29.17 in,0.0 in,Fair
2025-01-09,1:52 PM,26 °F,20 °F,78 %,S,13 mph,0 mph,29.14 in,0.0 in,Fair
2025-01-09,2:52 PM,29 °F,22 °F,75 %,SSE,8 mph,0 mph,29.10 in,0.0 in,Fair
2025-01-09,3:52 PM,32 °F,24 °F,73 %,S,12 mph,0 mph,29.10 in,0.0 in,Fair
2025-01-09,4:52 PM,33 °F,25 °F,72 %,S,10 mph,0 mph,29.10 in,0.0 in,Fair
2025-01-09,5:52 PM,31 °F,23 °F,72 %,S,8 mph,0 mph,29.10 in,0.0 in,Fair
2025-01-09,6:52 PM,27 °F,21 °F,78 %,S,7 mph,0 mph,29.10 in,0.0 in,Fair
2025-01-09,7:52 PM,28 °F,22 °F,78 %,SSW,9 mph,0 mph,29.12 in,0.0 in,Mostly Cloudy
